roots;terms;sents
hallo;;"hallo zusammen ;"
machen;probleme;"mein dicker macht seit kurzem probleme ;"
probleme;probleme;"folgende probleme ;"
nicht starten;fahrzeug;"fahrzeug startet nicht mehr ;"
drehen;anlasser;"anlasser dreht ;"
probieren;;"nach einiger zeit wieder probiert ;"
starten;fahrzeug;"fahrzeug startet normal ;"
problem;problem;"am nächsten tag gleiches problem wieder ;"
fehlversuche;;"also fehlversuche    ;"
können;;"bisher konnte geprüft werden    ;"
drehen;anlasser;"anlasser dreht ;"
zündfunken;zündfunken;"kein zündfunken feststellbar ;"
laufen;benzinpumpe;"benzinpumpe läuft   ;"
nockenwellensensor;gedanke, nockenwellensensor;"mein erster gedanke nockenwellensensor ;"
bestellen verbauen;;"dieser ist nun bestellt und wird verbaut ;"
denken;msg;"dachte eventuell auch das msg ;"
auffallen können;msg;"auffallend ist ebenfalls das ich mein msg nicht auslesen kann ;"
verbindung;verbindung;"keine verbindung möglich ;"
ansprechbar sein;steuergerät;"alle anderen steuergerät sind ansprechbar ;"
airbag;;"abs airbag   ;"
";";;"   ;"
viel;;"vielen dank   ;"
raten;fehlerspeicher;"ich würde dir dazu raten fehlerspeicher auszulesen ;"
gibts;probleme;"aber gibts offenbar probleme ;"
bestellen;hallgeber;"wenn du hallgeber schon bestellt hast ;"
warten;;"dann warte erstmal ab ;"
bewirken;tausch;"ob der tausch etwas bewirkt ;"
grund halten;steuergerät, grund;"das mit dem steuergerät ist jetzt noch kein grund es für defekt zu halten ;"
zickig sein;;"ist das mitunter etwas zickig ;"
ansprechen;testern;"wenn es nicht mit originalen testern angesprochen wird  ;"
danke;antwort;"ok danke der antwort ;"
verbauen;sensor;"werde sensor morgen mal verbauen und mich dann melden  ;"
grüße;;"viele grüße ;"
musste;abc, einstellungen, programm, obd;"wenn man 26 abc auslesen wollte musste man ganz besonders auf die einstellungen im obd programm achten  ;"
baudrate;baudrate;"baudrate höchstens 9600   ;"
com1;com1;"com1 oder 2 ;"
überprüf;mal;"überprüf das mal  ;"
zitat;;"zitat  ;"
schreiben;swissphonememo112;"swissphonememo112 schrieb am 15 ;"
märz;märz;"märz 2020 um 113313 uhr  ;"
danke;antwort;"ok danke der antwort ;"
verbauen;sensor;"werde sensor morgen mal verbauen und mich dann melden  ;"
grüße;grüße;"viele grüße ;"
geben;möglichkeiten, reihe, symptom;"es gibt noch eine ganze reihe anderer möglichkeiten für dein symptom ;"
ursache sein;abstand, ursache, hallgeber;"aber die mit abstand häufigste ursache ist der hallgeber ;"
mögen;;"du ja bereits vorsorglich tauschen möchtest ;"
geben sein;chancen;"die chancen sind durchaus gegeben ;"
laufen;wagen;"dass der wagen danach schon wieder läuft ;"
nicht;;"wenn nicht ;"
melden;;"dann melde dich einfach wieder hier  ;"
mögen;diagnose;"wenn du dich abseits der diagnose hier näher einlesen möchtest ;"
geben;v6, themen, startproblemen, suche;"dann gibt es in der suche haufenweise themen zu startproblemen beim v6  ;"
tauschen;nockenwelle, impulsgeber;"hallo zusammen also habe heute impulsgeber für die nockenwelle getauscht  ;"
können;fahrzeug;"konnte das fahrzeug auch auslesen ;"
ablegen;kurbelwellensensor, fehler, sensor, hallgeber;"fehler hallgeber und der kurbelwellensensor sensor waren dort abgelegt ;"
beid sein;;"wären dann diese beiden    ;"
und;;"und   ;"
kurbelwellensensor;kurbelwellensensor, kabel;"kurbelwellensensor kabel  vom ;"
kommen;fahrzeug, steuergerät, pin2, spannung;"steuergerät fahrzeug seitig kommen  keine spannung an pin2 messen konnte ;"
liegen;hallgeber;"am hallgeber liegen 12v an   ;"
grüße;grüße;"viele grüße ;"
";";;"hey ;"
bringen;geld;"einfach weiter tauschen bringt nichts und kostet geld ;"
setzen;fehler, dier, hallgeber;"dier fehler 00514 vom hallgeber wird immer zwangsweise gesetzt ;"
setzen;;"wenn der 00515 gesetzt wird ;"
sein;motordrehzahlgeber, g28, abc;"der 00513 ist der motordrehzahlgeber g28 ohne startet der abc auch nicht  ;"
sollen;anliegen, masse, pin, hallgeber, rosw, g40;"beim hallgeber  g40  sollte auf pin 1  rosw  plus anliegen und auf pin 3gnbr  masse ;"
logo;pin, logo, signal;"dann logo auf pin 2 das signal  ;"
sollen;g4, zündzeitpunktgeber;"  der zündzeitpunktgeber  g4  sollte abgesteckt 1kohm haben ;"
zwischen;pin;"zwischen pin 1 2 ;"
dürfen;widerstand;"zwischen 1 3 darf kein messbarer widerstand sein  ;"
prüfen;g28, g4;"für g28 ist es gleich zum g4 zu prüfen  ;"
kim;;"lg kim ;"
sehen;;"ok das sehe ich ein ;"
glauben;fehler;"ich glaube es war fehler 00515 und 00514 ;"
verwirren sensoren;abc, sensoren;"jetzt bin ich etwas verwirrt der abc hat 3 sensoren ;"
