,index,label
0,vollgas untere drehzahlen,1
1,treser audi,1
2,funkeempfänger,2
3,bekannten 10,2
4,zumal überbrückungsfahrzeug fast 4 is,1
5,standard federn,1
6,konkrete antwort,1
7,frank-knut,1
8,cep getriebe,1
9,vertraut ... alltagsauto,1
10,mal komplett unterschiedliche werte,1
11,-1.8s motor,1
12,ursprung,1
13,haltbarkeit,2
14,halbe liter,1
15,2.8e,7
16,mario,1
17,bissel rumschnitzen,1
18,filtereinheit,1
19,hwt,8
20,standard-hauptscheinwerfer,1
21,silikonöl,1
22,spidan/gkn,1
23,günstigen versicherung,1
24,modelle,4
25,günstige typenklassen,1
26,b3 limo,1
27,universelle funkfernbedienung,3
28,zündfunke,5
29,monat,2
30,benzindruck,6
31,kurbelwellensensor kabel,1
32,threadersteller,1
33,angewohnheit,1
34,normaler weise,1
35,übermäßigen co-gehalt,1
36,lämpchen,2
37,bügel,1
38,kompletten umdrehung,1
39,gruss hartmut,1
40,angestecktem sensor,1
41,einzige lager,1
42,ablösen,1
43,gruß ben-150,27
44,wundern,2
45,erfolg suche arrgyle,1
46,minuspol,3
47,letzte junger fahrer,1
48,zünkerzen,2
49,z-diode,1
50,tageskilometerzähler,3
51,4a,2
52,skala,1
53,einzeln,1
54,allianz,2
55,sogar hella/behr aufkleber,1
56,verbesserungsvorschläge,1
57,forumsteilnehmern,1
58,x-relais,1
59,fürn kopf,1
60,reinigungsanlage,1
61,alternativen füllungen,1
62,20 minuten,1
63,september,1
64,90 %,1
65,s2 coupé,2
66,ballern,1
67,betriebsanleitung,2
68,einspritzanlagenteile fensterschachtleisten,1
69,verbohrten geizigen,1
70,klimatronik,3
71,neulingsgrüße,1
72,genau -weil,1
73,litern,1
74,werkstatt-rlf,2
75,instrumente,4
76,schraubenschlüssel,1
77,besichtigung,2
78,unterseite,2
79,versicherung,25
80,egal öl- wasserkreislauf,1
81,nei,1
82,alten einspritzventilen,1
83,gegensatz,4
84,ly1v gobi metallic,2
85,hof,5
86,felgen,19
87,springende werte,1
88,strom(!)messung multimeter,1
89,anschlag,4
90,umpolstern,1
91,stecknuss,2
92,wesentlich aufmerksamkeit,1
93,abstand häufigste ursache,1
94,audi a3,1
95,wertgutachten,3
96,thomas,26
97,knecht,3
98,schalen,1
99,thema einspritzanlage,1
100,prüfrohr,1
101,verdeckkasten,2
102,defekt,8
103,"1,6er",4
104,"800,-",1
105,"1,8bar",6
106,motorblock,2
107,kraftstoffversorgung,2
108,notrad,5
109,innenraumgesteuerte funktionen,1
