index;roots;terms;sents
0;hallo;hallo;"hallo nochmal, ; habe folgendes problem am audi."
1;hallo;audi;"hallo nochmal, ; habe folgendes problem am audi."
2;hallo;problem;"hallo nochmal, ; habe folgendes problem am audi."
3;hallo;folgendes problem;"hallo nochmal, ; habe folgendes problem am audi."
4;lassen;gänge;die gänge lassen sich schlecht einlegen.
5;problem sein;gang;der 1. gang ist das größte problem.
6;problem sein;problem;der 1. gang ist das größte problem.
7;problem sein;1 . gang;der 1. gang ist das größte problem.
8;scheinen;fahrersitz;scheint mir als op der ganghebel sich zu sehr nach links zum fahrersitz neigt.
9;scheinen;op;scheint mir als op der ganghebel sich zu sehr nach links zum fahrersitz neigt.
10;scheinen;ganghebel;scheint mir als op der ganghebel sich zu sehr nach links zum fahrersitz neigt.
11;lande;drücke;wenn ich dann zurück in den 2.gang schalte und nach vorne drücke, lande ich mit viel glück im 1. gang.
12;lande;gang;wenn ich dann zurück in den 2.gang schalte und nach vorne drücke, lande ich mit viel glück im 1. gang.
13;lande;glück;wenn ich dann zurück in den 2.gang schalte und nach vorne drücke, lande ich mit viel glück im 1. gang.
14;anschauen;gestänge;"; habe mir das gestänge unterm auto angeschaut."
15;anschauen;auto;"; habe mir das gestänge unterm auto angeschaut."
16;verbauen sein;plastikschalen;"; habe mir nun die 2 plastikschalen bestellt die unter dem ganghebel verbaut sind. ;"
17;verbauen sein;ganghebel;"; habe mir nun die 2 plastikschalen bestellt die unter dem ganghebel verbaut sind. ;"
18;können;einfach;kann mir bitte jemand sagen op die einfach zu wechseln sind?
19;hallo;hallo;"hallo ;"
20;bewegen;gestänge;wenn es die beiden für das kleine gestänge ist um nach rechts und links zu bewegen.
21;entscheitung sein;entscheitung;"; ist das schon mal eine gute entscheitung."
22;lassen;fett;diese lassen sich mit etwas fett gut wechseln.
23;thomas;gruß thomas;"gruß thomas ;"
24;thomas;thomas;"gruß thomas ;"
25;thomas;gruß;"gruß thomas ;"
26;hallo;hallo;hallo auch, rein interessehalber...  
27;hallo;interessehalber;hallo auch, rein interessehalber...  
28;richtig sein;/;"dein 100er ist ein 5-zylinder mit motorkennbuchstabe ""wc"", 2144cm³ / 100kw (136ps), 5700 u/min, 185 nm bei 4800 u/min richtig ?"
29;richtig sein;u/min;"dein 100er ist ein 5-zylinder mit motorkennbuchstabe ""wc"", 2144cm³ / 100kw (136ps), 5700 u/min, 185 nm bei 4800 u/min richtig ?"
30;richtig sein;wc;"dein 100er ist ein 5-zylinder mit motorkennbuchstabe ""wc"", 2144cm³ / 100kw (136ps), 5700 u/min, 185 nm bei 4800 u/min richtig ?"
31;richtig sein;nm;"dein 100er ist ein 5-zylinder mit motorkennbuchstabe ""wc"", 2144cm³ / 100kw (136ps), 5700 u/min, 185 nm bei 4800 u/min richtig ?"
32;richtig sein;motorkennbuchstabe;"dein 100er ist ein 5-zylinder mit motorkennbuchstabe ""wc"", 2144cm³ / 100kw (136ps), 5700 u/min, 185 nm bei 4800 u/min richtig ?"
33;richtig sein;5-zylinder;"dein 100er ist ein 5-zylinder mit motorkennbuchstabe ""wc"", 2144cm³ / 100kw (136ps), 5700 u/min, 185 nm bei 4800 u/min richtig ?"
34;richtig sein;cm³;"dein 100er ist ein 5-zylinder mit motorkennbuchstabe ""wc"", 2144cm³ / 100kw (136ps), 5700 u/min, 185 nm bei 4800 u/min richtig ?"
35;handeln;modell;ja genau um dieses modell handelt es sich.
36;leute;hallo;"hallo leute, ;   "
37;leute;leute;"hallo leute, ;   "
38;leute;hallo leute;"hallo leute, ;   "
39;müsste;unlackierten teile;bei meinem audi 80 müsste ich mal dringend die unlackierten teile aufhübschen.
40;müsste;teile;bei meinem audi 80 müsste ich mal dringend die unlackierten teile aufhübschen.
41;müsste;audi;bei meinem audi 80 müsste ich mal dringend die unlackierten teile aufhübschen.
42;müsste;müsste;bei meinem audi 80 müsste ich mal dringend die unlackierten teile aufhübschen.
43;bekommen;schraubenziehern;durch den einbau von neuen scheinwerfern sind ziemlich hässliche spuren von den schraubenziehern da geblieben und würde die gerne raus bzw. überdeckt bekommen.
44;bekommen;einbau;durch den einbau von neuen scheinwerfern sind ziemlich hässliche spuren von den schraubenziehern da geblieben und würde die gerne raus bzw. überdeckt bekommen.
45;bekommen;spuren;durch den einbau von neuen scheinwerfern sind ziemlich hässliche spuren von den schraubenziehern da geblieben und würde die gerne raus bzw. überdeckt bekommen.
46;bekommen;scheinwerfern;durch den einbau von neuen scheinwerfern sind ziemlich hässliche spuren von den schraubenziehern da geblieben und würde die gerne raus bzw. überdeckt bekommen.
47;machbar sein;mitteln;mit welchen mitteln ist das gut machbar?
48;verschieben;threat;falls es dazu schon einen threat gibt gerne verschieben.
49;geschickt sein;bilder;"am geschicktesten wäre es, wenn du mal bilder hier postest. ;"
50;können;bild;"dann kann man sich ein ""bild davon machen"" und dir besser helfen. ;   "
51;arrgyle;"; grüße";"; grüße arrgyle ;"
52;arrgyle;arrgyle;"; grüße arrgyle ;"
53;arrgyle;grüße;"; grüße arrgyle ;"
54;bilder;bilder;hier ein paar bilder.
55;gehen;super;klar die etwas ramponierteren stellen da geht nix, aber die schlieren wären super, wenn man die entfernen könnte.
56;gehen;klar ramponierteren stellen;klar die etwas ramponierteren stellen da geht nix, aber die schlieren wären super, wenn man die entfernen könnte.
57;gehen;schlieren;klar die etwas ramponierteren stellen da geht nix, aber die schlieren wären super, wenn man die entfernen könnte.
58;gehen;stellen;klar die etwas ramponierteren stellen da geht nix, aber die schlieren wären super, wenn man die entfernen könnte.
59;schleifen;schleifen;"schleifen, strukturlack drauf und dann noch schwarz in matt oder seidenmatt lackieren ;"
60;helfen;kunststoffgel;also sowas wie sonax kunststoffgel würde da nicht helfen, um wenigstens diese spuren zu beseitigen?  
61;helfen;spuren;also sowas wie sonax kunststoffgel würde da nicht helfen, um wenigstens diese spuren zu beseitigen?  
62;helfen;sonax;also sowas wie sonax kunststoffgel würde da nicht helfen, um wenigstens diese spuren zu beseitigen?  
63;zitat;zitat;zitat:
64;schreiben;uhr;@a6 2,7t schrieb am 1. juni 2020 um 22:25:41 uhr:
65;schreiben;2,7 t;@a6 2,7t schrieb am 1. juni 2020 um 22:25:41 uhr:
66;schreiben;juni;@a6 2,7t schrieb am 1. juni 2020 um 22:25:41 uhr:
67;schreiben;t;@a6 2,7t schrieb am 1. juni 2020 um 22:25:41 uhr:
68;schleifen;schleifen;"; schleifen, strukturlack drauf und dann noch schwarz in matt oder seidenmatt lackieren ;"
69;schleifen;"; schleifen";"; schleifen, strukturlack drauf und dann noch schwarz in matt oder seidenmatt lackieren ;"
70;arrgyle;arrgyle;grüße arrgyle  
71;arrgyle;grüße;grüße arrgyle  
72;können;heissluftföhn;unlackierten kunststoff kann man recht gut mit einem heissluftföhn wieder auf hochglanz bringen.
73;können;hochglanz;unlackierten kunststoff kann man recht gut mit einem heissluftföhn wieder auf hochglanz bringen.
74;können;kunststoff;unlackierten kunststoff kann man recht gut mit einem heissluftföhn wieder auf hochglanz bringen.
75;können;unlackierten kunststoff;unlackierten kunststoff kann man recht gut mit einem heissluftföhn wieder auf hochglanz bringen.
76;muss;muss;muss aber vorsichtig gemacht werden.  
77;bringen;plastik;zu wenig temperatur bringt nichts, zu viel und das plastik schmilzt.
78;bringen;temperatur;zu wenig temperatur bringt nichts, zu viel und das plastik schmilzt.
79;bringen;schmilzt;zu wenig temperatur bringt nichts, zu viel und das plastik schmilzt.
80;komplett;hallo;hallo, suche schwarze rückleuchten komplett mit leiste.
81;komplett;hallo , suche schwarze rückleuchten;hallo, suche schwarze rückleuchten komplett mit leiste.
82;komplett;rückleuchten;hallo, suche schwarze rückleuchten komplett mit leiste.
83;komplett;leiste;hallo, suche schwarze rückleuchten komplett mit leiste.
84;version;us;oder us version.
85;version;version;oder us version.
86;danke;danke;danke
87;freunde;hallo;hallo freunde.
88;normal sein;auto;ist es normal daß das servoöl absackt wenn das auto läuft?
89;normal sein;servoöl;ist es normal daß das servoöl absackt wenn das auto läuft?
90;stehen;zustand;"in kaltem zustand steht es auf max. ; ja."
91;stehen;kaltem zustand;"in kaltem zustand steht es auf max. ; ja."
92;hallo;hallo;hallo zusammen!
93;können;verteiler;"; kann mir bitte jemand verraten wie man den verteiler abschraubt."
